(H)ukšā́	<i>noun</i><br><ol><li>bull</li></ol>
(H)íšuš	<i>noun</i><br><ol><li>arrow.</li></ol>
(w)ŕ̥šā|(w)ŕ̥šā ~ * (w)r̥šnás	<i>noun</i><br><ol><li>virile man</li><li>male animal, stallion, bull</li></ol>
Ha	<i>pron</i><br><ol><li>this</li></ol>
HaHćúš|HáHćyas|HáHćištʰas	<i>adj</i><br><ol><li>quick, fast, swift</li></ol>
Habʰí	<i>prep</i><br><ol><li>to, against</li><li>for, on account of</li></ol>
Habʰítas	<i>adv</i><br><ol><li>around, all around</li><li>from all sides</li></ol>
Hadʰáras|Hadʰamás	<i>adj</i><br><ol><li>low</li><li>inferior</li></ol>
Hadʰás	<i>adv</i><br><ol><li>below, downwards</li></ol>
Hagníš	<i>noun</i><br><ol><li>fire</li></ol>
Hagʰás	<i>adj</i><br><ol><li>bad, evil</li></ol>
Hangúštʰas|Hangúštʰāns|HangúštʰānaHm|Hangúštʰānam|Hangúštʰāt|Hangúštʰayaw|Hangúštʰam|Hangúštʰay|Hangúštʰā|Hangúštʰayās|Hangúštʰaybʰyas|Hangúštʰasya|HangúštʰaybʰyaH|Hangúštʰāyš|Hangúštʰāy|Hangúštʰa|Hangúštʰayšu	<i>noun</i><br><ol><li>thumb</li><li>big toe</li><li>finger</li></ol>
Hantamás	<i>adj</i><br><ol><li>closest, nearest</li><li>intimate</li></ol>
Hantár	<i>adv</i><br><ol><li>between, into, within</li></ol>
Hanyás	<i>adj</i><br><ol><li>other</li></ol>
HanyátʰaH	<i>adv</i><br><ol><li>otherwise; or else</li></ol>
Hanćúš	<i>noun</i><br><ol><li>the soma plant</li></ol>
Hapá	<i>adv</i><br><ol><li>off, away, from</li></ol>
Haratníš	<i>noun</i><br><ol><li>elbow</li></ol>
Hargʰás|Hargʰā́nam|Hargʰā́y|Hargʰáyšu|Hargʰáybʰyas|Hargʰā́ns|HargʰáybʰyaH|Hargʰásya|Hargʰā́naHm|Hargʰáy|Hargʰáyās|Hargʰā́|Hargʰám|Hargʰā́yš|Hargʰáyaw|Hargʰā́t|Hargʰa	<i>noun</i><br><ol><li>price, worth, value</li></ol>
Harušás	<i>adj</i><br><ol><li>white, reddish-white, glowing</li></ol>
HastčiHwánts	<i>noun</i><br><ol><li>the shin, lower part of the leg</li></ol>
HayšHáyati	<i>verb</i><br><ol><li>to strengthen</li><li>to set in motion, animate</li></ol>
Haćwatarás	<i>noun</i><br><ol><li>mule</li></ol>
Haštā́	<i>num</i><br><ol><li>eight</li></ol>
Haȷ́ás|Haȷ́ay|Haȷ́āt|Haȷ́ānaHm|Haȷ́āns|Haȷ́ayšu|Haȷ́ayās|Haȷ́aybʰyas|Haȷ́ā|Haȷ́ānam|Haȷ́a|Haȷ́asya|Haȷ́āy|Haȷ́aybʰyaH|Haȷ́as|Haȷ́ayaw|Haȷ́am|Haȷ́āyš	<i>noun</i><br><ol><li>goat</li></ol>
Haȷ́ʰíH|Haȷ́ʰiHbʰiš|Haȷ́ʰyay|Haȷ́ʰiyās|Haȷ́ʰiHbʰyā|Haȷ́ʰiyaw|Haȷ́ʰyaHs|Haȷ́ʰyaH|Haȷ́ʰiHbʰyām|Haȷ́ʰiHs|Haȷ́ʰiHbʰyas|Haȷ́ʰiH|Haȷ́ʰiHnām|Haȷ́ʰiHsu|Haȷ́ʰiHm	<i>noun</i><br><ol><li>heifer, cow</li></ol>
HbʰrúHs|Hbʰru|HbʰruHnaHm|HbʰruHs|HbʰruHbʰiš|Hbʰruwi|HbʰruwaH|Hbʰruwam|HbʰruHnam|HbʰruHbʰyas|Hbʰruwas|HbʰruHsu|Hbʰruway	<i>noun</i><br><ol><li>eyebrow</li></ol>
Hdánts|Hdát	<i>noun</i><br><ol><li>tooth</li></ol>
Hidʰá	<i>adv</i><br><ol><li>here</li></ol>
Hišćáti	<i>verb</i><br><ol><li>to wish, desire, seek</li></ol>
Hlagʰúš|Hlágʰištʰas|Hlágʰyas	<i>adj</i><br><ol><li>lightweight, swift, agile</li></ol>
HlawpaHćás|HlawpaHćáyaw|HlawpaHćā́naHm|HlawpaHćáybʰyaH|HlawpaHćā́y|HlawpaHćáy|HlawpaHćáybʰyas|HlawpaHćáyās|HlawpaHćā́nam|HlawpaHćásya|HlawpaHćā́|HlawpaHća|HlawpaHćā́yš|HlawpaHćā́ns|HlawpaHćā́t|HlawpaHćáyšu|HlawpaHćám	<i>noun</i><br><ol><li>jackal, fox</li></ol>
Hláwpiš	<i>noun</i><br><ol><li>fox</li></ol>
Hmaygʰás|Hmaygʰáybʰyas|Hmaygʰā́y|Hmaygʰásya|Hmaygʰáyšu|Hmaygʰám|Hmaygʰáyaw|Hmaygʰáyās|HmaygʰáybʰyaH|Hmaygʰā́t|Hmaygʰā́naHm|Hmaygʰā́nam|Hmaygʰáy|Hmaygʰā́|Hmaygʰā́yš|Hmaygʰa|Hmaygʰā́ns	<i>noun</i><br><ol><li>cloud</li></ol>
Hmíčš|Hmíčš ~ *Hmiǰʰás	<i>noun</i><br><ol><li>mist, cloud</li></ol>
Hnawatí	<i>num</i><br><ol><li>ninety</li></ol>
HnidráH|HnidráHsu|HnidráHbʰyām|HnidráyaHm|Hnidrā́s|HnidráyaH́|Hnidráy|HnidráyaHs|HnidráHbʰyas|HnidráHbʰiš|Hnidrāyās|HnidráHbʰyā|Hnidrāyaw|HnidráyaHy|Hnidrā́m|HnidráyaH|HnidráHnām|Hnidray	<i>noun</i><br><ol><li>sleep, slumber</li></ol>
Hnáwa	<i>num</i><br><ol><li>nine</li></ol>
Hnā́|Hnráy|Hnŕ̥bʰyā|Hnáram|HnáraH|Hnáras|Hnŕ̥bʰyām|Hnrā́m|Hnŕ̥šu|Hnar|Hnŕ̥bʰyas|Hnŕ̥š|Hnári|Hnŕ̥bʰiš|HnráH|Hnráw|Hnŕ̥Nš	<i>noun</i><br><ol><li>man</li></ol>
Hnā́kš|Hnā́kš ~ Hnakʰás	<i>noun</i><br><ol><li>(anatomy) nail</li></ol>
Hnā́ma	<i>noun</i><br><ol><li>name</li></ol>
Hnā́riš	<i>noun</i><br><ol><li>woman</li></ol>
Hrawdʰás|Hrawdʰā́t|Hrawdʰā́nam|Hrawdʰáybʰyas|Hrawdʰám|Hrawdʰā́ns|Hrawdʰā́|Hrawdʰáyaw|Hrawdʰáyās|Hrawdʰā́y|Hrawdʰáy|Hrawdʰā́naHm|Hrawdʰáyšu|HrawdʰáybʰyaH|Hrawdʰa|Hrawdʰásya|Hrawdʰā́yš	<i>noun</i><br><ol><li>red metal, copper, brass</li></ol>
Hraštás	<i>adj</i><br><ol><li>right</li></ol>
HriHyáti	<i>verb</i><br><ol><li>to flow, stream</li></ol>
Hrámati	<i>verb</i><br><ol><li>to rest, relax</li></ol>
Hrátʰas|Hrátʰā|Hrátʰam|Hrátʰānam|HrátʰaybʰyaH|Hrátʰay|Hrátʰāns|Hrátʰayās|Hrátʰāy|Hrátʰa|Hrátʰayaw|Hrátʰaybʰyas|HrátʰānaHm|Hrátʰayšu|Hrátʰāt|Hrátʰasya|Hrátʰāyš	<i>noun</i><br><ol><li>chariot</li></ol>
HráwdHti|HráwdHti ~ *Hrúdʰanti	<i>verb</i><br><ol><li>to cry, weep.</li></ol>
Hráwdʰitas	<i>adj</i><br><ol><li>red</li></ol>
Hráwma|HráwmbʰyáH|Hráwmáy|Hráwmám|Hráwmsu|Hráwm|Hráwmām|HráwmáH|Hráwmbʰíš|Hráwmáwš|Hráwmás|Hráwmā́w|Hráwmí	<i>noun</i><br><ol><li>hair, body hair</li></ol>
Hrā́ćš	<i>noun</i><br><ol><li>king, ruler</li></ol>
Hr̥náwti	<i>verb</i><br><ol><li>to move</li></ol>
Hr̥tás|Hr̥táybʰyaH|Hr̥tásya|Hr̥tā́t|Hr̥táyās|Hr̥táyšu|Hr̥táy|Hr̥ta|Hr̥tā́yš|Hr̥tā́y|Hr̥tā́ns|Hr̥tā́naHm|Hr̥tám|Hr̥tā́|Hr̥táyaw|Hr̥táybʰyas|Hr̥tā́nam	<i>noun</i><br><ol><li>truth</li></ol>
Hr̥túš	<i>noun</i><br><ol><li>fixed point of time, period, epoch</li><li>fixed order, rule</li></ol>
Hr̥šwás	<i>adj</i><br><ol><li>high, elevated</li></ol>
Hr̥ȷ́ipyás	<i>adj</i><br><ol><li>straight-flying</li><li>(substantive) something straight-flying, falcon, eagle</li></ol>
Hr̥ȷ́úš|Hráȷ́ištʰas	<i>adj</i><br><ol><li>just, right</li></ol><br><i>adv</i><br><ol><li>correctly; in a straight manner</li></ol>
Hsatyás|Hsatyā́|Hsatyā́y|Hsatyáyaw|Hsatyáyšu|Hsatyā́nam|Hsatyáybʰyas|Hsatyā́naHm|Hsatya|Hsatyā́yš|Hsatyáy|Hsatyásya|Hsatyā́t|Hsatyám|Hsatyā́ns|HsatyáybʰyaH|Hsatyáyās	<i>adj</i><br><ol><li>true, real</li></ol><br><i>noun</i><br><ol><li>truth</li></ol>
Hstā́	<i>noun</i><br><ol><li>star</li></ol>
HsuHápas	<i>adj</i><br><ol><li>well created</li><li>artistic</li><li>doing good work</li></ol>
Hsućráwas	<i>adj</i><br><ol><li>famous</li></ol>
Hsúškas	<i>adj</i><br><ol><li>dry, dried out</li></ol>
HuHnás	<i>adj</i><br><ol><li>empty</li></ol>
Hugrás|Háwǰyas|Háwǰištʰas	<i>adj</i><br><ol><li>powerful, mighty, strong</li></ol>
Hušā́s|Hušā́sáy|Hušā́ssu|Hušā́sbʰyáH|Hušā́sáwš|Hušā́sām|Hušā́sáH|Hušā́sbʰíš|Hušā́sā́w|Hušā́sám|Hušā́sás|Hušā́sí	<i>name</i><br><ol><li>dawn</li><li>Ushas, goddess of dawn</li></ol>
HwaHyúš	<i>noun</i><br><ol><li>wind, air</li></ol>
HwiHćati	<i>num</i><br><ol><li>twenty</li></ol>
HwidʰáwaH|HwidʰáwayaHm|HwidʰáwayaHs|HwidʰáwayaH|HwidʰáwaHbʰyas|HwidʰáwaHbʰyā|HwidʰáwaHbʰyām|Hwidʰáwāyaw|HwidʰáwaHsu|HwidʰáwaHbʰiš|Hwidʰáwās|HwidʰáwayaHy|HwidʰáwaHnām|Hwidʰáway|Hwidʰáwāyās|Hwidʰáwām	<i>noun</i><br><ol><li>widow</li></ol>
HwáHatas	<i>noun</i><br><ol><li>wind</li></ol>
HwáHyati	<i>verb</i><br><ol><li>to lack, be deficient</li></ol>
Hwárunas|Hwárunāt|Hwárunay|Hwárunā|HwárunaybʰyaH|Hwárunaybʰyas|Hwárunāns|Hwárunāy|Hwárunasya|HwárunānaHm|Hwárunāyš|Hwárunayās|Hwárunayaw|Hwárunam|Hwáruna|Hwárunānam|Hwárunayšu	<i>name</i><br><ol><li>Varuna</li></ol>
Hwásati	<i>verb</i><br><ol><li>to dwell, live</li><li>to stay, spend the night</li></ol>
Hwásuš|Hwásyas|Hwásištʰas	<i>adj</i><br><ol><li>good, excellent</li></ol>
Hwíš|Hwā́w|Hwáyām?|Hwáyay|Hwyā́|Hwyáwš|Hwáy|HwíH|Hwíbʰyām|Hwíšu|Hwíbʰiš|Hwáyas|Hwištyā́|Hwíbʰyas|Hwím|Hwáyš|Hwī́n	<i>noun</i><br><ol><li>bird</li></ol>
Hwŕ̥HnaH|Hwŕ̥HnaHbʰyām|Hwŕ̥HnayaHy|Hwŕ̥HnayaHs|Hwŕ̥HnayaH|Hwŕ̥HnaHsu|Hwŕ̥Hnay|Hwŕ̥Hnās|Hwŕ̥Hnām|Hwŕ̥HnaHbʰiš|Hwŕ̥HnaHnām|Hwŕ̥Hnāyaw|Hwŕ̥Hnāyās|Hwŕ̥HnayaHm|Hwŕ̥HnaHbʰyas|Hwŕ̥HnaHbʰyā	<i>noun</i><br><ol><li>wool</li></ol>
Hyaȷ́atás|Hyaȷ́atas|Hyaȷ́atānam|Hyaȷ́ataybʰyas|Hyaȷ́atayaw|Hyaȷ́atayšu|Hyaȷ́atayās|Hyaȷ́atay|Hyaȷ́ataybʰyaH|Hyaȷ́atā|Hyaȷ́atāns|Hyaȷ́ata|Hyaȷ́atasya|Hyaȷ́atānaHm|Hyaȷ́atāt|Hyaȷ́atāy|Hyaȷ́atam|Hyaȷ́atāyš	<i>noun</i><br><ol><li>worshiped</li><li>god</li></ol>
Hyaȷ́nás|Hyaȷ́nāyš|Hyaȷ́nāt|Hyaȷ́nam|Hyaȷ́nāy|Hyaȷ́nasya|Hyaȷ́nā|Hyaȷ́nayās|Hyaȷ́nayaw|Hyaȷ́nay|Hyaȷ́nayšu|Hyaȷ́naybʰyas|Hyaȷ́nas|Hyaȷ́naybʰyaH|Hyaȷ́na|Hyaȷ́nānam|Hyaȷ́nāns|Hyaȷ́nānaHm	<i>noun</i><br><ol><li>worship</li><li>sacrifice</li></ol>
HyuHatáH|HyuHatáyaHs|HyuHatáyaHm|HyuHatáyaH́|HyuHatay|HyuHatā́s|HyuHatāyās|HyuHatāyaw|HyuHatáHbʰyām|HyuHatáyaHy|HyuHatáy|HyuHatáyaH|HyuHatáHsu|HyuHatáHbʰyas|HyuHatā́m|HyuHatáHnām|HyuHatáHbʰyā|HyuHatáHbʰiš	<i>noun</i><br><ol><li>youth</li></ol>
Hyákr̥	<i>noun</i><br><ol><li>liver</li></ol>
Hyás	<i>pron</i><br><ol><li>that, who, which (relative pronoun)</li></ol>
Hyátra|HyátraH	<i>adv</i><br><ol><li>wherever, whither</li></ol>
HyátʰaH	<i>adv</i><br><ol><li>in which way, as, in which manner</li></ol>
Hyáȷ́ati	<i>verb</i><br><ol><li>to worship, sacrifice</li></ol>
HyúHā	<i>adj</i><br><ol><li>youthful, young</li></ol>
HáHtmā|HáHtmā ~ *Htmáns	<i>noun</i><br><ol><li>breath</li><li>soul, self</li></ol>
Hádʰwā	<i>noun</i><br><ol><li>a road</li></ol>
Hádᶻgas|Hádᶻgaybʰyas|Hádᶻgayās|Hádᶻgāt|Hádᶻgānam|Hádᶻgāy|Hádᶻgam|Hádᶻgay|Hádᶻgāyš|Hádᶻgā|Hádᶻgasya|HádᶻgānaHm|Hádᶻgayšu|Hádᶻga|Hádᶻgāns|Hádᶻgayaw|HádᶻgaybʰyaH	<i>noun</i><br><ol><li>knot (in a tree, branch, etc.)</li><li>branch, twig</li></ol>
Hákart|kr̥tás|Hákart ~ Hákrant	<i>verb</i><br><ol><li>to do, make</li></ol>
Hákši	<i>noun</i><br><ol><li>(anatomy) eye</li></ol>
Hámsas|Hámsasya|Hámsaybʰyas|Hámsāns|Hámsānam|Hámsā|Hámsa|Hámsāt|Hámsayās|HámsānaHm|Hámsay|Hámsayaw|HámsaybʰyaH|Hámsam|Hámsayšu|Hámsāy|Hámsāyš	<i>noun</i><br><ol><li>shoulder</li></ol>
Hánu	<i>adv</i><br><ol><li>along</li><li>after, afterwards</li></ol>
Hánćas|Hánća|Hánćāyš|Hánćāns|HánćānaHm|Hánćā|Hánćānam|Hánćaybʰyas|Hánćayaw|Hánćasya|Hánćam|Hánćayās|Hánćāt|Hánćay|HánćaybʰyaH|Hánćayšu|Hánćāy	<i>noun</i><br><ol><li>part, portion, share</li></ol>
Hánȷ́ʰas	<i>noun</i><br><ol><li>distress, anxiety, fear</li><li>trouble</li></ol>
Hápi	<i>adv</i><br><ol><li>near</li></ol>
Hárbʰas|Hárbʰāy|Hárbʰaybʰyas|Hárbʰam|Hárbʰāns|Hárbʰayās|HárbʰānaHm|Hárbʰay|Hárbʰayaw|HárbʰaybʰyaH|Hárbʰa|Hárbʰasya|Hárbʰāyš|Hárbʰāt|Hárbʰayšu|Hárbʰā|Hárbʰānam	<i>noun</i><br><ol><li>orphan; child</li></ol>
Hárdʰas|Hárdʰaybʰyas|Hárdʰāy|Hárdʰam|Hárdʰa|Hárdʰā|Hárdʰānam|Hárdʰāt|HárdʰānaHm|Hárdʰāyš|Hárdʰayšu|Hárdʰayaw|Hárdʰayās|HárdʰaybʰyaH|Hárdʰāns|Hárdʰay|Hárdʰasya	<i>noun</i><br><ol><li>division, half</li></ol>
Hártʰam|HártʰaH|Hártʰay|Hártʰām|Hártʰāš|HártʰayH|Hártʰasya|Hártʰamas|Hártʰayšu|Hártʰāt|Hártʰāy	<i>noun</i><br><ol><li>affair, occurrence</li><li>object, thing</li><li>purpose</li></ol>
Hárćas	<i>noun</i><br><ol><li>ulcer, sore</li><li>haemorrhoids, piles</li></ol>
Hárǰʰati	<i>verb</i><br><ol><li>to be worth, have value; to cost</li></ol>
HásHr̥	<i>noun</i><br><ol><li>blood</li></ol>
Hásti|Hstás|áHaswa|3rd|áHasiHt|áHastām|Hsántu|HsyáHta|áHasant|HásaHwa|HsyáHs|áHasam|Hstʰás|HsyáHma|1st|Hswás|2nd|HsyáHt|áHasiHs|HásaHni|HsyáHtam|áHasma|Hásmi|Hstám|Hstʰá|Hstá|áHasta|Hsánt|Hsánti|Hsyúnt|Hási|áHastam|HsyáHtām|Hsmás|Hsdʰí|Hstā́m|Hstú|HsyáHwa|HásaHma|HsyáHm	<i>verb</i><br><ol><li>to be</li></ol>
Hásuras|Hásurayšu|Hásurāns|Hásurāy|Hásura|Hásurānam|Hásuray|Hásurāt|HásurānaHm|Hásurayās|Hásurā|Hásurasya|HásuraybʰyaH|Hásurāyš|Hásuram|Hásuraybʰyas|Hásurayaw	<i>noun</i><br><ol><li>(religion) deity</li></ol>
Hásuš	<i>noun</i><br><ol><li>life, existence, being</li></ol>
Háti	<i>adv</i><br><ol><li>over</li></ol>
Hátˢti	<i>verb</i><br><ol><li>to eat</li></ol>
Háwa	<i>adv</i><br><ol><li>away from, off</li><li>down</li></ol>
Háwiš|Háwibʰyas|Háwyawš|Háwyā|Háwištyā|HáwiH|Háwibʰiš|Háwišu|Háwibʰyām|Háwayay|Háwim|Háwayas|Háwāw|Háwayām?|Háwayš|Háwīn|Háway	<i>noun</i><br><ol><li>sheep</li></ol>
Háwǰas	<i>noun</i><br><ol><li>might, bodily strength, vigour</li></ol>
Háwǰʰati	<i>verb</i><br><ol><li>to say</li></ol>
Háyas	<i>noun</i><br><ol><li>a metal, copper</li></ol>
Háykas	<i>num</i><br><ol><li>one</li></ol>
Háyti	<i>verb</i><br><ol><li>to go</li></ol>
Háywas	<i>num</i><br><ol><li>one</li></ol>
Háyxam|HáyxaH|Háyxayaw|Háyxāy|Háyxayāh|Háyxā|Háyxay|Háyxāt|Háyxānam|HáyxaybyaH|Háyxaybyah|Háyxahya|Háyxayšu|Háyxāyš	<i>noun</i><br><ol><li>ice, frost</li></ol>
Háćmā	<i>noun</i><br><ol><li>stone, thunderstone?</li><li>thunderbolt, sky?</li></ol>
Háćru	<i>noun</i><br><ol><li>tear</li></ol>
Háćwapatiš|Háćwapatayas|Háćwapatay|Háćwapatim|Háćwapatibʰiš|Háćwapatayš|Háćwapatyawš|Háćwapatīn|Háćwapatāw?|Háćwapatayām?|Háćwapatišu|Háćwapatayay|Háćwapatibʰyām|HáćwapatiH|Háćwapatā?|Háćwapatibʰyas	<i>noun</i><br><ol><li>master of horses, chief of cavalry</li></ol>
Háćwas|Háćwaybʰyas|Háćway|Háćwayaw|Háćwāy|Háćwānam|Háćwāt|Háćwa|Háćwayās|Háćwam|Háćwasya|HáćwānaHm|Háćwayšu|Háćwāns|Háćwā|Háćwāyš|HáćwaybʰyaH	<i>noun</i><br><ol><li>horse</li></ol>
Háćšas|Háćšam|Háćšay|HáćšānaHm|Háćšayaw|Háćša|Háćšayšu|Háćšānam|Háćšā|Háćšāyš|Háćšāy|Háćšāns|Háćšaybʰyas|HáćšaybʰyaH|Háćšasya|Háćšayās|Háćšāt	<i>noun</i><br><ol><li>axle</li></ol>
HáštraH|Háštrāyās|HáštraHbʰyām|HáštrayaHm|HáštraHbʰyas|Háštrās|HáštrayaHy|HáštraHsu|Háštrām|HáštraHbʰiš|Háštray|Háštrāyaw|HáštrayaHs|HáštrayaH|HáštraHnām|HáštraHbʰyā	<i>noun</i><br><ol><li>whip (for driving cattle)</li><li>goad</li></ol>
Háǰʰiš|Háǰʰā?|Háǰʰim|Háǰʰyawš|Háǰʰibʰiš|HáǰʰiH|Háǰʰayām?|Háǰʰayš|Háǰʰayas|Háǰʰayay|Háǰʰīn|Háǰʰāw?|Háǰʰišu|Háǰʰibʰyas|Háǰʰibʰyām|Háǰʰay	<i>noun</i><br><ol><li>snake</li></ol>
Háȷ́ati	<i>verb</i><br><ol><li>to drive, lead</li></ol>
Háȷ́ras|Háȷ́ray|Háȷ́raybʰyaH|Háȷ́rayšu|Háȷ́rānaHm|Háȷ́rānam|Háȷ́ra|Háȷ́rayās|Háȷ́rasya|Háȷ́raybʰyas|Háȷ́rāyš|Háȷ́rā|Háȷ́rāt|Háȷ́rāns|Háȷ́rāy|Háȷ́ram|Háȷ́rayaw	<i>noun</i><br><ol><li>field, pasture</li></ol>
Hítaras	<i>adj</i><br><ol><li>other, another</li></ol>
HíšHyati	<i>verb</i><br><ol><li>to speed forward</li><li>to send forth</li></ol>
Hā́ps	<i>noun</i><br><ol><li>water</li></ol>
Hā́yu	<i>noun</i><br><ol><li>lifetime, life</li></ol>
Hŕ̥ćšas|Hŕ̥ćšāt|Hŕ̥ćšasya|Hŕ̥ćšayās|Hŕ̥ćšāns|Hŕ̥ćšaybʰyas|Hŕ̥ćšay|Hŕ̥ćšānam|Hŕ̥ćšayaw|Hŕ̥ćša|Hŕ̥ćšam|Hŕ̥ćšayšu|Hŕ̥ćšāyš|Hŕ̥ćšā|Hŕ̥ćšāy|Hŕ̥ćšānaHm|Hŕ̥ćšaybʰyaH	<i>noun</i><br><ol><li>bear</li></ol>
