(H)ukšā́	<i>noun</i><br><ol><li>bull</li></ol>
sáHdʰuš|sáHdʰyas|sáHdʰištʰas	<i>adj</i><br><ol><li>successful, accomplished</li></ol>
sáktʰiš|sáktʰā?|sáktʰayš|sáktʰīn|sáktʰibʰyas|sáktʰibʰyām|sáktʰiH|sáktʰāw?|sáktʰibʰiš|sáktʰayas|sáktʰayām?|sáktʰim|sáktʰay|sáktʰišu|sáktʰayay|sáktʰyawš	<i>noun</i><br><ol><li>(anatomy) thigh</li></ol>
sákʰā	<i>noun</i><br><ol><li>friend, companion</li></ol>
sáras	<i>noun</i><br><ol><li>marsh, water</li></ol>
sárwas	<i>adj</i><br><ol><li>all</li><li>entire, whole</li></ol>
sárȷ́ati	<i>verb</i><br><ol><li>to let go, dismiss, release, cast off</li></ol>
sáwHmas|sáwHmāt|sáwHmayšu|sáwHmā|sáwHmāy|sáwHmam|sáwHmay|sáwHmāns|sáwHmaybʰyas|sáwHmayaw|sáwHma|sáwHmaybʰyaH|sáwHmāyš|sáwHmasya|sáwHmānaHm|sáwHmānam|sáwHmayās	<i>noun</i><br><ol><li>soma, haoma</li></ol>
sáynaH|sáynaHbʰyām|sáynayaHs|sáynayaHm|sáynās|sáynay|sáynāyās|sáynaHbʰyā|sáynaHnām|sáynāyaw|sáynaHbʰyas|sáynayaHy|sáynām|sáynaHbʰiš|sáynaHsu|sáynayaH	<i>noun</i><br><ol><li>army, troop</li><li>horde, band (of invaders, attackers)</li></ol>
sáčatay	<i>verb</i><br><ol><li>to follow; to have followed</li></ol>
sáȷ́ʰas	<i>noun</i><br><ol><li>power, strength</li></ol>
síndʰuš|síndʰum|síndʰaway|síndʰušu|síndʰuwaHs|síndʰawš|síndʰaw|síndʰubʰyaH|síndʰubʰyas|síndʰāw?|síndʰawas|síndʰuwaw|síndʰunām?|síndʰubʰiš|síndʰuH|síndʰunš|síndʰā?	<i>noun</i><br><ol><li>the Indus river.</li><li>the region surrounding the Indus, Sindh.</li></ol>
síždati	<i>verb</i><br><ol><li>to sit</li></ol>
súHar	<i>noun</i><br><ol><li>the sun</li></ol>
súHarwāns	<i>adj</i><br><ol><li>sunny, shining, bright</li><li>glorious, fortunate</li></ol><br><i>noun</i><br><ol><li>the sun, shine, light</li><li>glory, fortune</li></ol>
súraH|súraHbʰyām|súraHnām|súrayaHs|súray|súrāyaw|súrayaHm|súrayaHy|súrāyās|súraHsu|súraHbʰiš|súrayaH|súraHbʰyā|súrās|súraHbʰyas|súrām	<i>noun</i><br><ol><li>wine, liquor, alcohol</li><li>any fermented drink, milk, juice etc</li><li>nectar, any intoxicating drink</li></ol>
takrám|takrā́|takráybʰyas|takrásya|takrā́nam|takrā́naHm|takráyaw|takráyās|takráH|takrā́y|takráyšu|takrā́t|takrā́yš|takráy|takráybʰyaH	<i>noun</i><br><ol><li>buttermilk</li></ol>
tanúHs	<i>noun</i><br><ol><li>body, self.</li></ol>
tawtáH|tawtā́m|tawtáHsu|tawtáHbʰiš|tawtā́s|tawtáyaH́|tawtáHbʰyām|tawtáHbʰyas|tawtáHnām|tawtáyaH|tawtāyās|tawtáyaHm|tawtáHbʰyā|tawtāyaw|tawtay|tawtáy|tawtáyaHs|tawtáyaHy	<i>noun</i><br><ol><li>people, folk</li><li>crowd, masses</li></ol>
tráyas	<i>num</i><br><ol><li>three</li></ol>
tr̥HaćčáH	<i>adv</i><br><ol><li>crosswise, through</li></ol>
tr̥Hás	<i>adv</i><br><ol><li>through</li></ol>
twr̥Háti	<i>verb</i><br><ol><li>to hurry, hasten</li></ol>
twárštā|twárští|twárštás|twáršt|twárštām|twárštáwš|twárštáy|twárštáH|twárštám|twárštā́w|twárštbʰíš|twárštsu|twárštbʰyáH	<i>noun</i><br><ol><li>creator</li><li>(religion) craft god</li></ol>
tyáǰas|tyáǰa|tyáǰāyš|tyáǰānam|tyáǰam|tyáǰasya|tyáǰayās|tyáǰā|tyáǰayšu|tyáǰānaHm|tyáǰay|tyáǰāt|tyáǰāy|tyáǰaybʰyas|tyáǰayaw|tyáǰaybʰyaH|tyáǰāns	<i>noun</i><br><ol><li>abandonment</li><li>difficulty, danger</li></ol>
támHas	<i>noun</i><br><ol><li>darkness</li></ol>
támHsram	<i>noun</i><br><ol><li>darkness; dark night</li></ol>
tápas	<i>noun</i><br><ol><li>heat</li></ol>
tárHati|tárHaHwas|tr̥Hyáswa|3rd|atárHata|tr̥Hyáytʰay|tárHadʰway|tárHaytʰām|tárHaHmas|tr̥HtwáH|átarHas|tárHaHma|tr̥Hyádʰwam|tr̥Hyáytay|atarHáHmadʰHi|tárHatʰas|tárHaHni|átarHam|tárHayrant|tr̥Hyáydʰwam|tarHáHmadʰHaHy|atárHaHma|tárHatu|tarHáyHātʰām|atárHaytām|tarHáHwadʰHaHy|tr̥HyáHy|tr̥Hyántam|tarHáHwadʰHay|tr̥Hyátām|tárHatay|tárHays|tárHant|átarHay|tárHatām|atárHatʰās|tr̥HyáymadʰHi|atr̥HyáHmadʰHi|tárHata|atárHanta|tr̥HyáywadʰHi|tárHaydʰwam|atr̥Hyádʰwam|tárHasi|tárHatam|tárHaHmi|tárHaytʰās|tárHantay|tárHayt|tr̥Hyáytʰās|atárHadʰwam|tr̥Hyáytām|tárHaytay|tárHayHam|atr̥Hyáytʰām|tárHaswa|tr̥Hyántay|tárHasay|átarHat|tárHayta|tarHáymadʰHi|tárHamHnas|atárHatam|atarHáHwadʰHi|tárHaytam|tárHatʰa|tárHayHunt|atr̥Hyánta|tárHtum|2nd|tr̥Hyátay|tárHadʰwam|tr̥Hyáyta|tarHáyHātām|tr̥Hyádʰway|tárHaywa|atárHaytʰām|atárHaHwa|atr̥Hyáytām|tárHanti|atr̥Hyátʰās|tr̥HyáHmadʰHay|tr̥HyáHmadʰHaHy|tárHatas|tr̥Hnás|atr̥Hyáy|tárHayHa|tr̥HyámHnas|tárHaHy|tárHaymas|tarHáywadʰHi|atárHatām|tr̥HyáHwadʰHaHy|1st|tā́rHyas|tr̥Hyásay|tr̥Hyáy|tr̥Hyáyrant|tárHaytʰay|tarHáHmadʰHay|tr̥HyáyHātām|tárHay|tr̥HyáHwadʰHay|tr̥HyáyHa|tr̥Hyáytʰām|átarHant|tárHantu|tárHantam|tárHaytām|tárHaHwa|tárHa|atr̥HyáHwadʰHi|atr̥Hyáta|tr̥HáyHātʰām	<i>verb</i><br><ol><li>to cross over</li></ol>
tárunas	<i>adj</i><br><ol><li>young, tender</li></ol>
táwHsiH	<i>noun</i><br><ol><li>strength, might, power</li></ol>
táwkma	<i>noun</i><br><ol><li>seed</li></ol>
táwkš|táwkš ~ *tučás	<i>noun</i><br><ol><li>offspring, children</li></ol>
táćšā	<i>noun</i><br><ol><li>carpenter, woodcutter</li></ol>
títarHti	<i>verb</i><br><ol><li>to overcome</li></ol>
túH|twáHi|twáHm|Dative|twád|Instrumental|túbʰyam|ušmáHbʰiš|Nominative|yuHáyawš|was|ušmā́kam|yuHáHbʰyaH|yúH|ušmā́ns|Ablative|Locative|ušmáy|Genitive|ušmád|Vocative|Accusative|twáyaH|yuHáHm|táwa	<i>pron</i><br><ol><li>you, thou</li></ol>
tŕ̥Hwati|tr̥Hwáns|tárHwištʰas|tárHuyas	<i>verb</i><br><ol><li>to overcome</li><li>to be able</li></ol>
tŕ̥nam|tŕ̥naybʰyas|tŕ̥naH|tŕ̥nāyš|tŕ̥nānam|tŕ̥nānaHm|tŕ̥nāy|tŕ̥nā|tŕ̥nāt|tŕ̥nay|tŕ̥naybʰyaH|tŕ̥nasya|tŕ̥nayšu|tŕ̥nayās|tŕ̥nayaw	<i>noun</i><br><ol><li>blade of grass</li><li>grass</li></ol>
tŕ̥šnas|tŕ̥šnāy|tŕ̥šna|tŕ̥šnasya|tŕ̥šnā|tŕ̥šnayās|tŕ̥šnaybʰyas|tŕ̥šnānam|tŕ̥šnayaw|tŕ̥šnāyš|tŕ̥šnay|tŕ̥šnayšu|tŕ̥šnāns|tŕ̥šnāt|tŕ̥šnānaHm|tŕ̥šnam|tŕ̥šnaybʰyaH	<i>noun</i><br><ol><li>thirst</li></ol>
udrás|udráyās|udráybʰyaH|udrā́nam|udráyšu|udrā́naHm|udráy|udrā́y|udrā́t|udra|udrā́|udráyaw|udráybʰyas|udrásya|udrā́ns|udrám|udrā́yš	<i>noun</i><br><ol><li>otter</li></ol>
udáras	<i>noun</i><br><ol><li>belly, abdomen, stomach</li></ol>
upári	<i>adv</i><br><ol><li>above, over</li></ol>
utˢtamás	<i>adj</i><br><ol><li>highest, most elevated</li></ol>
utˢčáH	<i>adv</i><br><ol><li>above, upwards</li></ol>
ućíkš|ućíǰ|ućíǰí|ućíǰás|ućíǰám|ućíkšu|ućígbʰyaH|ućíǰáwš|ućígbʰiš|ućíǰáy|ućíǰām|ućíǰáH	<i>noun</i><br><ol><li>sacrificing priest</li></ol>
wabžʰáH	<i>noun</i><br><ol><li>wasp</li></ol>
warkás|warkā́|warkáy|warka|warkáyās|warkā́ns|warkáybʰyas|warkám|warkā́yš|warkáybʰyaH|warkā́y|warkā́nam|warkáyšu|warkā́t|warkásya|walkás|warkā́naHm|warkáyaw	<i>noun</i><br><ol><li>bark, leaf</li></ol>
warāȷ́ʰás|warāȷ́ʰānam|warāȷ́ʰayaw|warāȷ́ʰā|warāȷ́ʰam|warāȷ́ʰāy|warāȷ́ʰayšu|warāȷ́ʰas|warāȷ́ʰāt|warāȷ́ʰāyš|warāȷ́ʰaybʰyas|warāȷ́ʰānaHm|warāȷ́ʰayās|warāȷ́ʰa|warāȷ́ʰasya|warāȷ́ʰaybʰyaH|warāȷ́ʰay|warāȷ́ʰāns	<i>noun</i><br><ol><li>boar</li></ol>
watsás|watsám|watsáybʰyas|watsáybʰyaH|watsā́t|watsáyās|watsā́ns|watsā́naHm|watsáy|watsā́|watsā́nam|watsáyaw|watsáyšu|watsā́yš|watsā́y|watsa|watsásya	<i>noun</i><br><ol><li>yearling calf</li></ol>
watáti	<i>verb</i><br><ol><li>to be familiar with</li></ol>
waćáH|waćáHbʰyas|waćáyaHy|waćay|waćāyās|waćáy|waćáyaH́|waćāyaw|waćáHbʰiš|waćā́s|waćáHsu|waćáyaHm|waćáHbʰyā|waćáHbʰyām|waćáyaH|waćā́m|waćáHnām|waćáyaHs	<i>noun</i><br><ol><li>young cow</li></ol>
wačyátay	<i>verb</i><br><ol><li>to be moved</li></ol>
wiHrás|wiHráybʰyas|wiHrā́|wiHrā́yš|wiHrám|wiHrā́nam|wiHrā́naHm|wiHráyšu|wiHrā́t|wiHráybʰyaH|wiHrā́y|wiHráy|wiHrā́ns|wiHráyaw|wiHrásya|wiHra|wiHráyās	<i>noun</i><br><ol><li>man</li></ol>
wiprás	<i>adj</i><br><ol><li>ecstatic, trembling</li></ol>
witˢtás	<i>adj</i><br><ol><li>known, seen</li></ol>
wišás|wišā́|wišáyās|wišā́t|wišā́nam|wiša|wišā́y|wišáyšu|wišā́yš|wišáy|wišásya|wišáyaw|wišā́naHm|wišáybʰyaH|wišám|wišā́ns|wišáybʰyas	<i>noun</i><br><ol><li>poison, venom</li></ol>
wr̥Hmíš|wr̥Hmī́n|wr̥HmíH́|wr̥Hmíbʰiš|wr̥Hmíšu|wr̥Hmā́(w)?|wr̥Hmáyay|wr̥Hmáyām?|wr̥Hmíbʰyas|wr̥Hmyáwš|wr̥Hmáyas|wr̥Hmíbʰyām|wr̥HmíH|wr̥Hmím|wr̥Hmáy|wr̥Hmáyš	<i>noun</i><br><ol><li>wave</li></ol>
wr̥dᶻdʰás	<i>adj</i><br><ol><li>grown, mature</li><li>big, great</li></ol>
wr̥traǰʰā́	<i>adj</i><br><ol><li>destroying obstacles</li></ol>
wr̥ćšás|wr̥ćšáy|wr̥ćša|wr̥ćšáyās|wr̥ćšáybʰyas|wr̥ćšám|wr̥ćšā́y|wr̥ćšā́nam|wr̥ćšásya|wr̥ćšā́ns|wr̥ćšā́t|wr̥ćšā́|wr̥ćšáyšu|wr̥ćšáybʰyaH|wr̥ćšáyaw|wr̥ćšā́yš|wr̥ćšā́naHm	<i>noun</i><br><ol><li>tree</li></ol>
wr̥šníš|wr̥šnáyas|wr̥šníH́|wr̥šnáyām?|wr̥šnī́n|wr̥šnā́(w)?|wr̥šnáy|wr̥šnyáwš|wr̥šnáyš|wr̥šníbʰyas|wr̥šním|wr̥šnáyay|wr̥šníbʰyām|wr̥šníH|wr̥šníšu|wr̥šníbʰiš	<i>noun</i><br><ol><li>ram</li></ol>
wáHyati	<i>verb</i><br><ol><li>to weave</li></ol>
wáktram|wáktrānam|wáktray|wáktrayšu|wáktrayaw|wáktrāt|wáktrāy|wáktrāyš|wáktrasya|wáktrayās|wáktrānaHm|wáktraH|wáktrā|wáktraybʰyas|wáktraybʰyaH	<i>noun</i><br><ol><li>mouth</li></ol>
wárćas|wárćaybʰyas|wárćay|wárćasya|wárćayšu|wárćā|wárćāyš|wárćāt|wárćāy|wárćayās|wárćam|wárćānam|wárćānaHm|wárćayaw|wárćāns|wárća|wárćaybʰyaH	<i>noun</i><br><ol><li>hair</li></ol>
wásr̥	<i>noun</i><br><ol><li>spring</li></ol>
wástram	<i>noun</i><br><ol><li>garment</li><li>cloth</li></ol>
wáyHti|3rd|2nd|1st	<i>verb</i><br><ol><li>to chase, pursue</li><li>to persecute</li></ol>
wáypati	<i>verb</i><br><ol><li>to tremble</li></ol>
wáytˢti|witˢtás	<i>verb</i><br><ol><li>to know</li></ol>
wáčas	<i>noun</i><br><ol><li>word, speech</li><li>voice</li></ol>
wáždʰā	<i>noun</i><br><ol><li>one who carries; a carrier</li></ol>
wáȷ́ras|wáȷ́ra|wáȷ́rāyš|wáȷ́ram|wáȷ́rāns|wáȷ́rānam|wáȷ́rāt|wáȷ́raybʰyaH|wáȷ́rā|wáȷ́rayšu|wáȷ́raybʰyas|wáȷ́rānaHm|wáȷ́rasya|wáȷ́rayaw|wáȷ́rayās|wáȷ́rāy|wáȷ́ray	<i>adj</i><br><ol><li>strong, hard</li></ol><br><i>noun</i><br><ol><li>a mace, club or any such weapon</li></ol>
wáȷ́ʰati	<i>verb</i><br><ol><li>to bring, carry, transport</li></ol>
wítastiš	<i>noun</i><br><ol><li>span (as a measure of length)</li></ol>
wíćwas	<i>adj</i><br><ol><li>all, every</li></ol>
wíćš	<i>noun</i><br><ol><li>village</li><li>household</li></ol>
wā́kš	<i>noun</i><br><ol><li>speech, voice</li><li>sound?</li></ol>
wī́nā	<i>noun</i><br><ol><li>a lute</li></ol>
wŕ̥kas|wŕ̥kayās|wŕ̥kam|wŕ̥kay|wŕ̥kāns|wŕ̥kaybʰyas|wŕ̥kayaw|wŕ̥kasya|wŕ̥kāt|wŕ̥kānaHm|wŕ̥kāyš|wŕ̥kāy|wŕ̥kaybʰyaH|wŕ̥kānam|wŕ̥kā|wŕ̥ka|wŕ̥kayšu	<i>noun</i><br><ol><li>wolf</li></ol>
yaHtúš	<i>noun</i><br><ol><li>sorcery, witchcraft, black-magic</li></ol>
yatás	<i>adj</i><br><ol><li>held, restrained</li></ol>
yugám|yugáhya|yugám|yugáyās|yugáyaw|yugáyšu|yugā́t|yugáybʰyas|yugáyāh|yugā́|yugásya|yugáybyaH|yugáH|yugáybʰyaH|yugáybyah|yugā́y|yugā́nam|yugáy|yugā́naHm|yugā́yš	<i>noun</i><br><ol><li>yoke</li></ol>
yunákti	<i>verb</i><br><ol><li>to yoke, harness</li></ol>
yámHas|yámHay|yámHa|yámHam|yámHayaw|yámHaybʰyas|yámHā|yámHānaHm|yámHāt|yámHāns|yámHāy|yámHayās|yámHānam|yámHayšu|yámHasya|yámHāyš|yámHaybʰyaH	<i>noun</i><br><ol><li>pair, twin</li></ol>
yámHas-Hrā́ȷ́ā	<i>name</i><br><ol><li>King YámHas</li></ol>
yáwas|yáwasya|yáwāt|yáwāns|yáwāy|yáwā|yáwānam|yáway|yáwaybʰyaH|yáwayšu|yáwayās|yáwānaHm|yáwāyš|yáwayaw|yáwa|yáwaybʰyas|yáwam	<i>noun</i><br><ol><li>barley</li><li>cereal, grain</li></ol>
yáwgas|yáwgam|yáwgānaHm|yáwgayaw|yáwgasya|yáwga|athematic|yáwgaybʰyaH|yáwgā|yáwgayās|yáwgayšu|yáwgānam|yáwgaybʰyas|yáwgāyš|yáwgāt|yáwgay|yáwgāns|yáwgāy	<i>noun</i><br><ol><li>team, yoke</li><li>yoking</li></ol>
yáwktram	<i>noun</i><br><ol><li>bridle, halter</li><li>rope, thong</li></ol>
yáćas	<i>noun</i><br><ol><li>glory, fame, renown</li><li>dignity, honor</li></ol>
yúH	<i>pron</i><br><ol><li>you</li></ol>
Áryas|Áryásya|ÁryáybʰyaH|Áryáybʰyas|Áryā́yš|Áryám|Áryā́naHm|Áryáyās|Áryáy|Áryā́ns|Áryā́nam|Áryā́|Árya|Áryā́y|Áryáyaw|Áryáyšu|Áryā́t|Áryás	<i>noun</i><br><ol><li>autonymic (self-identifying) ethnonym of the respective Indo-Iranian peoples, i.e. the Indo-Aryans and the Iranians.</li></ol>
Índras	<i>name</i><br><ol><li>Indra</li></ol>
ádʰiHayti	<i>verb</i><br><ol><li>to go</li></ol>
ákas	<i>adj</i><br><ol><li>bad</li></ol>
ástam|ástānam|ástaybʰyas|ástayaw|ástaH|ástāy|ástasya|ástā|ástānaHm|ástayšu|ástāt|ástay|ástayās|ástaybʰyaH|ástāyš	<i>noun</i><br><ol><li>home; house</li></ol>
átkas|(H)átkas	<i>noun</i><br><ol><li>cloak, coat</li></ol>
átʰarwā	<i>noun</i><br><ol><li>(religion) priest</li></ol>
úštras|úštrāt|úštraybʰyaH|úštrā|úštraybʰyas|úštrayšu|úštrayaw|úštra|úštram|úštrāy|úštrānaHm|úštray|úštrāns|úštrānam|úštrasya|úštrayās|úštrāyš	<i>noun</i><br><ol><li>camel</li><li>buffalo</li></ol>
ā́ćā|ā́ćā ~ *aćas	<i>noun</i><br><ol><li>region, space</li></ol>
Ćarwás	<i>name</i><br><ol><li>the name of a deity</li></ol>
ćapʰás|ćapʰáybʰyas|ćapʰā́t|ćapʰā́nam|ćapʰā́y|ćapʰáyās|ćapʰā́|ćapʰa|ćapʰā́naHm|ćapʰáybʰyaH|ćapʰā́ns|ćapʰáy|ćapʰám|ćapʰáyšu|ćapʰā́yš|ćapʰásya|ćapʰáyaw	<i>noun</i><br><ol><li>hoof (of an animal)</li></ol>
ćarHáts|ćarHáts ~ ćarHdás	<i>noun</i><br><ol><li>autumn, summer</li><li>year</li></ol>
ćasás|ćasā́y|ćasáybʰyas|ćasám|ćasáyās|ćasáyaw|ćasásya|ćasáy|ćasā́|ćasā́naHm|ćasā́nam|ćasáyšu|ćasā́yš|ćasáybʰyaH|ćasa|ćasā́ns|ćasā́t	<i>noun</i><br><ol><li>hare</li></ol>
ćatám	<i>num</i><br><ol><li>hundred</li></ol>
ćradᶻdʰáH|ćradᶻdʰáyaHs|ćradᶻdʰā́m|ćradᶻdʰáHbʰiš|ćradᶻdʰáHnām|ćradᶻdʰā́s|ćradᶻdʰáHsu|ćradᶻdʰáyaHm|ćradᶻdʰáy|ćradᶻdʰáyaH́|ćradᶻdʰáyaHy|ćradᶻdʰáHbʰyām|ćradᶻdʰáyaH|ćradᶻdʰáHbʰyas|ćradᶻdʰāyās|ćradᶻdʰāyaw|ćradᶻdʰay|ćradᶻdʰáHbʰyā	<i>noun</i><br><ol><li>belief, trust</li></ol>
ćriHrás|ćráyHištʰas|ćráyHyas	<i>adj</i><br><ol><li>beautiful, splendid</li></ol>
ćráwas	<i>noun</i><br><ol><li>fame</li></ol>
ćráwniš|ćráwnayay|ćráwništyā|ćráwnay|ćráwnayas|ćráwnīn|ćráwnibʰyām|ćráwnāw|ćráwnim|ćráwnibʰiš|ćráwnyawš|ćráwnayām?|ćráwniH|ćráwnibʰyas|ćráwnyā|ćráwnayš|ćráwnišu	<i>noun</i><br><ol><li>(anatomy) buttocks</li></ol>
ćráyHyas	<i>adj</i><br><ol><li>better, preferable</li></ol>
ćráyati	<i>verb</i><br><ol><li>to lean</li></ol>
ćr̥Hwás|ćr̥Hwā́yš|ćr̥Hwā́naHm|ćr̥Hwā́|ćr̥Hwáyšu|ćr̥Hwā́nam|ćr̥Hwáybʰyas|ćr̥Hwáyās|ćr̥Hwáy|ćr̥Hwáyaw|ćr̥Hwa|ćr̥Hwásya|ćr̥HwáybʰyaH|ćr̥Hwā́y|ćr̥Hwám|ćr̥Hwā́ns|ćr̥Hwā́t	<i>noun</i><br><ol><li>horn</li></ol>
ćr̥náwti	<i>verb</i><br><ol><li>to listen, hear</li></ol>
ćuHrás	<i>adj</i><br><ol><li>strong</li></ol>
ćuHáyati	<i>verb</i><br><ol><li>to swell, increase, grow</li></ol>
ćukrás	<i>adj</i><br><ol><li>white, bright</li><li>resplendent</li></ol>
ćwaytás	<i>adj</i><br><ol><li>white</li><li>bright</li></ol>
ćwā́	<i>noun</i><br><ol><li>dog</li></ol>
