'hiw	<i>noun</i><br><ol><li>joss stick; incense</li></ol>
Amuhuwan	<i>name</i><br><ol><li>United States; America</li></ol>
Di'tu	<i>name</i><br><ol><li>God</li></ol>
Taypak	<i>name</i><br><ol><li>Taipei</li></ol>
Tuing	<i>name</i><br><ol><li>Taoyuan county</li></ol>
Wikipitiya	<i>name</i><br><ol><li>Wikipedia</li></ol>
aam	<i>noun</i><br><ol><li>congee</li></ol>
aayad	<i>noun</i><br><ol><li>termite; white ant</li></ol>
abala	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
abinung	<i>noun</i><br><ol><li>coconut</li></ol>
abu	<i>noun</i><br><ol><li>ash (solid remains of a fire)</li></ol>
aca	<i>noun</i><br><ol><li>price</li></ol>
acak	<i>adj</i><br><ol><li>dry</li></ol>
acasa	<i>adv</i><br><ol><li>of course; surely</li></ol>
acawa	<i>noun</i><br><ol><li>spouse; husband; wife</li></ol>
ada	<i>noun</i><br><ol><li>enemy</li></ol>
adidem	<i>noun</i><br><ol><li>mulberry (tree, fruit)</li></ol>
adingu	<i>noun</i><br><ol><li>spirit</li><li>shadow</li></ol>
adipenuc	<i>noun</i><br><ol><li>black ant</li></ol>
adiping	<i>noun</i><br><ol><li>(zoology) comb</li></ol>
adiyuc	<i>noun</i><br><ol><li>whirlwind</li></ol>
ailuc	<i>noun</i><br><ol><li>(anatomy) neck</li></ol>
akenek	<i>adj</i><br><ol><li>bitter</li></ol>
alem	<i>noun</i><br><ol><li>pangolin</li></ol>
alisalap	<i>noun</i><br><ol><li>centipede</li></ol>
ama	<i>noun</i><br><ol><li>father</li></ol>
amis	<i>noun</i><br><ol><li>north</li></ol>
anucila	<i>adv</i><br><ol><li>tomorrow</li></ol>
apalu	<i>noun</i><br><ol><li>breadfruit (tree)</li></ol>
api	<i>noun</i><br><ol><li>twins</li></ol>
asulu	<i>noun</i><br><ol><li>pestle</li></ol>
atay	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
atikak	<i>noun</i><br><ol><li>earthworm</li></ol>
atimela	<i>noun</i><br><ol><li>flea</li></ol>
atimsi	<i>noun</i><br><ol><li>black nightshade (Solanum nigrum)</li></ol>
atip	<i>noun</i><br><ol><li>chopsticks</li></ol>
auk	<i>noun</i><br><ol><li>bamboo</li></ol>
ayaan	<i>pron</i><br><ol><li>(interrogative) when</li></ol>
ayam	<i>noun</i><br><ol><li>bird</li></ol>
aylung	<i>noun</i><br><ol><li>iron (for pressing clothes)</li></ol>
ayskulim	<i>noun</i><br><ol><li>ice cream</li></ol>
ayza	<i>adv</i><br><ol><li>now</li></ol>
ba'tu	<i>noun</i><br><ol><li>stone</li></ol>
babalangad	<i>noun</i><br><ol><li>beetle</li></ol>
babaungen	<i>noun</i><br><ol><li>sacrificial offering</li></ol>
babeku	<i>noun</i><br><ol><li>Job's tears (Coix lacryma-jobi)</li></ol>
babelbel	<i>noun</i><br><ol><li>airplane</li></ol>
babukud	<i>noun</i><br><ol><li>grasshopper</li></ol>
babulawan	<i>noun</i><br><ol><li>battlefield; battleground</li></ol>
bacainul	<i>noun</i><br><ol><li>tadpole</li></ol>
badahung	<i>noun</i><br><ol><li>roof</li></ol>
badisusu'	<i>noun</i><br><ol><li>grape</li></ol>
baduwac	<i>noun</i><br><ol><li>(anatomy) rib</li></ol>
baetu	<i>noun</i><br><ol><li>stone</li></ol>
bai	<i>noun</i><br><ol><li>grandmother</li></ol>
bakan	<i>noun</i><br><ol><li>knife</li></ol>
baki	<i>noun</i><br><ol><li>grandfather</li><li>uncle</li></ol>
bala'	<i>noun</i><br><ol><li>(anatomy) lung</li></ol>
balaut	<i>noun</i><br><ol><li>frog</li></ol>
bali	<i>noun</i><br><ol><li>air</li><li>wind</li></ol>
baliyus	<i>noun</i><br><ol><li>typhoon</li></ol>
balu	<i>noun</i><br><ol><li>flower</li></ol>
balucu'	<i>noun</i><br><ol><li>(anatomy) heart</li></ol>
baluhang	<i>noun</i><br><ol><li>(anatomy) chest</li></ol>
baluhay	<i>adj</i><br><ol><li>new</li></ol>
balunga	<i>noun</i><br><ol><li>boat; ship</li></ol>
banges	<i>noun</i><br><ol><li>(anatomy) skin</li></ol>
baninih	<i>noun</i><br><ol><li>cricket (insect)</li></ol>
bankuy	<i>noun</i><br><ol><li>wardrobe (cupboard for storing clothes)</li></ol>
banul	<i>noun</i><br><ol><li>pigeon; dove</li></ol>
basu	<i>noun</i><br><ol><li>bus</li></ol>
batac	<i>noun</i><br><ol><li>(anatomy) elbow</li></ol>
batikal	<i>noun</i><br><ol><li>bicycle</li></ol>
baybay	<i>noun</i><br><ol><li>mosquito net</li></ol>
bayu	<i>noun</i><br><ol><li>sea</li></ol>
becul	<i>adj</i><br><ol><li>full; satiated (from eating)</li></ol>
belac	<i>noun</i><br><ol><li>rice (raw, husked and milled seeds used as food)</li></ol>
belaw	<i>noun</i><br><ol><li>neighbor</li></ol>
belek	<i>noun</i><br><ol><li>piglet</li></ol>
besi	<i>noun</i><br><ol><li>(anatomy) gall bladder</li><li>bubble</li></ol>
bicacay	<i>noun</i><br><ol><li>kumquat</li></ol>
bidadiki	<i>noun</i><br><ol><li>bat (animal)</li></ol>
bidakelung	<i>noun</i><br><ol><li>lily (flower)</li></ol>
bidaul	<i>noun</i><br><ol><li>cucumber</li></ol>
bihel	<i>noun</i><br><ol><li>wheel</li></ol>
bihid	<i>noun</i><br><ol><li>(anatomy) face; cheek</li></ol>
bihkac	<i>noun</i><br><ol><li>bird trap (which traps the bird on the neck with a bait)</li></ol>
bihun	<i>noun</i><br><ol><li>cosmetics; makeup</li></ol>
bilbil	<i>noun</i><br><ol><li>(anatomy) lip</li></ol>
bili	<i>noun</i><br><ol><li>(anatomy) abdomen; belly</li></ol>
bilu	<i>noun</i><br><ol><li>beer</li></ol>
bituka	<i>noun</i><br><ol><li>(anatomy) stomach</li></ol>
biwa	<i>noun</i><br><ol><li>loquat tree</li></ol>
bucekit	<i>noun</i><br><ol><li>eye of the needle</li></ol>
buhang	<i>noun</i><br><ol><li>hole</li></ol>
bukes	<i>noun</i><br><ol><li>(anatomy) hair</li></ol>
buksu	<i>noun</i><br><ol><li>pastorage; grass for grazing</li></ol>
bukul	<i>noun</i><br><ol><li>animal skin; hide</li></ol>
bulad	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
bulalac	<i>noun</i><br><ol><li>quartz</li></ol>
bulang	<i>noun</i><br><ol><li>foam; bubble; froth</li></ol>
bulawan	<i>noun</i><br><ol><li>war</li></ol>
bunac	<i>noun</i><br><ol><li>star</li></ol>
bunak	<i>noun</i><br><ol><li>sand</li></ol>
busuk	<i>adj</i><br><ol><li>drunk</li></ol>
buting	<i>noun</i><br><ol><li>fish</li></ol>
butul	<i>noun</i><br><ol><li>(anatomy) testicle; scrotum</li></ol>
buut	<i>noun</i><br><ol><li>head ornament</li></ol>
buwa'	<i>noun</i><br><ol><li>(anatomy) kidney</li></ol>
buyu'	<i>noun</i><br><ol><li>mountain</li></ol>
cabay	<i>noun</i><br><ol><li>friend</li></ol>
cabeng	<i>noun</i><br><ol><li>wall</li></ol>
cacay	<i>num</i><br><ol><li>one</li></ol>
cacay a bataan	<i>num</i><br><ol><li>ten</li></ol>
cacebalen	<i>noun</i><br><ol><li>umbrella</li></ol>
cacudadan	<i>noun</i><br><ol><li>school</li></ol>
cacudaden	<i>noun</i><br><ol><li>schoolwork; assignment; homework</li></ol>
caket	<i>noun</i><br><ol><li>Reeves's muntjac (Muntiacus reevesi)</li></ol>
calaped	<i>noun</i><br><ol><li>trousers; pants</li></ol>
canan	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
cebu	<i>noun</i><br><ol><li>(anatomy) urinary bladder</li></ol>
cecay	<i>num</i><br><ol><li>one</li></ol>
celas	<i>noun</i><br><ol><li>charcoal</li></ol>
cenhu	<i>noun</i><br><ol><li>government</li></ol>
cepi'	<i>noun</i><br><ol><li>(anatomy) thigh</li></ol>
cidekay	<i>noun</i><br><ol><li>ethnic group; ethnic community</li></ol>
cihek	<i>noun</i><br><ol><li>(anatomy) nose</li></ol>
ciid	<i>noun</i><br><ol><li>branch (of a plant)</li></ol>
cikah	<i>noun</i><br><ol><li>salt</li></ol>
ciku	<i>noun</i><br><ol><li>(anatomy) elbow</li></ol>
cilal	<i>noun</i><br><ol><li>sun</li></ol>
cilu'	<i>noun</i><br><ol><li>torch</li></ol>
ciluciluk	<i>noun</i><br><ol><li>sparrow</li></ol>
cima	<i>pron</i><br><ol><li>(interrogative) who</li></ol>
ciyak	<i>noun</i><br><ol><li>watermelon</li></ol>
ciyataw	<i>noun</i><br><ol><li>train stop, train station</li></ol>
cu'cu'	<i>noun</i><br><ol><li>corner (formed by two walls)</li></ol>
cucu	<i>noun</i><br><ol><li>(anatomy) breast</li><li>milk</li></ol>
cudad	<i>noun</i><br><ol><li>book</li></ol>
cuked	<i>noun</i><br><ol><li>column; pillar; post</li></ol>
culay	<i>noun</i><br><ol><li>walking stick; cane</li></ol>
culen	<i>noun</i><br><ol><li>spinning top</li></ol>
cumuli	<i>noun</i><br><ol><li>land snail</li></ol>
cuwa	<i>pron</i><br><ol><li>(interrogative) where</li></ol>
cuyacuy	<i>noun</i><br><ol><li>suspension bridge</li></ol>
da'dac	<i>noun</i><br><ol><li>betel; areca</li></ol>
dabek	<i>noun</i><br><ol><li>worker's shed</li></ol>
dadayday	<i>noun</i><br><ol><li>cicada</li></ol>
dadeka	<i>noun</i><br><ol><li>sesame</li></ol>
dadipana'	<i>noun</i><br><ol><li>caterpillar</li></ol>
dadipis	<i>noun</i><br><ol><li>cockroach</li></ol>
damek	<i>noun</i><br><ol><li>fertilizer</li></ol>
dangah	<i>noun</i><br><ol><li>cauldron; big wok</li></ol>
dawa	<i>noun</i><br><ol><li>cloth</li></ol>
daydam	<i>noun</i><br><ol><li>chili pepper; red pepper</li></ol>
deku	<i>noun</i><br><ol><li>owl</li></ol>
dengeliay	<i>noun</i><br><ol><li>high heels; high-heeled shoes</li></ol>
dibu	<i>noun</i><br><ol><li>bird's nest</li></ol>
diheb	<i>noun</i><br><ol><li>mountain valley</li></ol>
dinget	<i>noun</i><br><ol><li>(anatomy) nasal mucus</li></ol>
dingki	<i>noun</i><br><ol><li>electricity</li></ol>
dues	<i>noun</i><br><ol><li>bone marrow</li></ol>
duka	<i>noun</i><br><ol><li>wound; cut</li></ol>
ebuy	<i>noun</i><br><ol><li>sock</li></ol>
edil	<i>noun</i><br><ol><li>ray of light</li></ol>
edu	<i>noun</i><br><ol><li>mouse</li></ol>
edu'	<i>noun</i><br><ol><li>mouse; rat</li></ol>
elun	<i>noun</i><br><ol><li>chair</li></ol>
emu	<i>noun</i><br><ol><li>nian gao (a Chinese New Year's cake made of glutinous rice flour)</li></ol>
enal	<i>noun</i><br><ol><li>(geology) plain (large area of flat land with no trees)</li></ol>
enem	<i>num</i><br><ol><li>six</li></ol>
enip	<i>noun</i><br><ol><li>soft-shell turtle</li></ol>
epah	<i>noun</i><br><ol><li>alcoholic beverage</li></ol>
esus	<i>noun</i><br><ol><li>fart; flatulence</li></ol>
etip	<i>noun</i><br><ol><li>south</li></ol>
gaciw	<i>noun</i><br><ol><li>goose</li></ol>
gapa	<i>noun</i><br><ol><li>canvas</li></ol>
gingku	<i>noun</i><br><ol><li>bank (financial institution)</li></ol>
habay	<i>noun</i><br><ol><li>hulled grain of foxtail millet</li></ol>
hacul	<i>noun</i><br><ol><li>milk; breast milk</li></ol>
hahuya	<i>noun</i><br><ol><li>Chinese lantern</li></ol>
hakasi	<i>noun</i><br><ol><li>doctor</li></ol>
hakay	<i>adv</i><br><ol><li>maybe</li></ol>
haku	<i>noun</i><br><ol><li>box; case</li></ol>
hamunika	<i>noun</i><br><ol><li>harmonica</li></ol>
handulu	<i>noun</i><br><ol><li>steering wheel</li></ol>
hangkaci	<i>noun</i><br><ol><li>handkerchief</li></ol>
hata	<i>noun</i><br><ol><li>flag</li></ol>
hecek	<i>noun</i><br><ol><li>utility pole</li></ol>
heci	<i>noun</i><br><ol><li>fruit (of a plant)</li></ol>
hekal	<i>noun</i><br><ol><li>outside</li></ol>
helung	<i>noun</i><br><ol><li>mountain valley</li></ol>
hemay	<i>noun</i><br><ol><li>cooked rice</li></ol>
hikuki	<i>noun</i><br><ol><li>airplane</li></ol>
hitay	<i>noun</i><br><ol><li>soldier</li></ol>
huing	<i>noun</i><br><ol><li>(law) court</li></ol>
hulam	<i>noun</i><br><ol><li>Chinese person</li></ol>
hulic	<i>noun</i><br><ol><li>law</li></ol>
humun	<i>noun</i><br><ol><li>sea cucumber</li></ol>
hungliten	<i>noun</i><br><ol><li>traffic light</li></ol>
hungti	<i>noun</i><br><ol><li>emperor</li></ol>
husing	<i>noun</i><br><ol><li>balloon</li></ol>
huyun	<i>noun</i><br><ol><li>woven mat made from hemp</li></ol>
iciba	<i>noun</i><br><ol><li>market</li></ol>
iduc	<i>noun</i><br><ol><li>spear; lance; harpoon</li></ol>
iga	<i>noun</i><br><ol><li>movie; film</li></ol>
ili	<i>noun</i><br><ol><li>Beaufortia leveretti (a kind of ray-finned fish)</li></ol>
imelang	<i>noun</i><br><ol><li>illness</li></ol>
imelangay	<i>noun</i><br><ol><li>patient; invalid</li></ol>
imuc	<i>noun</i><br><ol><li>Taiwanese cinnamon</li></ol>
ina	<i>noun</i><br><ol><li>mother (female (human) who parents a child, gives birth to a baby, or is pregnant)</li></ol>
ingwen	<i>noun</i><br><ol><li>English</li></ol>
isi'	<i>noun</i><br><ol><li>urine</li></ol>
isu'	<i>noun</i><br><ol><li>whale</li></ol>
izang	<i>noun</i><br><ol><li>(anatomy) blood</li></ol>
kabang	<i>noun</i><br><ol><li>bag; pouch; sack</li></ol>
kabayu	<i>noun</i><br><ol><li>horse</li></ol>
kabutulay	<i>noun</i><br><ol><li>Nephrolepis cordifolia, a fern native to northern Australia and Asia.</li></ol>
kacudu	<i>noun</i><br><ol><li>movie; film</li></ol>
kacumuli	<i>noun</i><br><ol><li>land snail</li></ol>
kadabu	<i>noun</i><br><ol><li>child-in-law</li></ol>
kahemid	<i>noun</i><br><ol><li>Chinese mitten crab</li></ol>
kaka	<i>noun</i><br><ol><li>elder sibling</li></ol>
kakana	<i>noun</i><br><ol><li>elder sister</li></ol>
kakatu	<i>noun</i><br><ol><li>spiderweb</li></ol>
kakawit	<i>noun</i><br><ol><li>sickle</li></ol>
kakawsan	<i>noun</i><br><ol><li>ancestor</li></ol>
kakeleng	<i>noun</i><br><ol><li>thunder</li></ol>
kakelikeli'an	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kaku	<i>pron</i><br><ol><li>I</li></ol>
kakulut	<i>noun</i><br><ol><li>bitter gourd</li></ol>
kakunas	<i>noun</i><br><ol><li>toad</li></ol>
kala	<i>noun</i><br><ol><li>prey; game</li></ol>
kalabaw	<i>noun</i><br><ol><li>vole</li></ol>
kalaepa	<i>noun</i><br><ol><li>Chinese mugwort</li></ol>
kalang	<i>noun</i><br><ol><li>crab</li></ol>
kalapiyat	<i>noun</i><br><ol><li>lightning</li></ol>
kalasay	<i>noun</i><br><ol><li>tripe; cow stomach</li></ol>
kalih	<i>noun</i><br><ol><li>rake (tool)</li></ol>
kalisiw	<i>noun</i><br><ol><li>money</li></ol>
kalitang	<i>noun</i><br><ol><li>peanut</li></ol>
kaludi	<i>noun</i><br><ol><li>loach</li></ol>
kamacal	<i>noun</i><br><ol><li>wild strawberry; strawberry</li></ol>
kami	<i>pron</i><br><ol><li>we (exclusive)</li></ol>
kamu	<i>pron</i><br><ol><li>(inclusive, in the plural) you</li></ol>
kamulaw	<i>noun</i><br><ol><li>tomato</li></ol>
kanas	<i>noun</i><br><ol><li>basket</li></ol>
kapiya	<i>noun</i><br><ol><li>plate; dish</li></ol>
kaput	<i>noun</i><br><ol><li>companion; mate; partner</li></ol>
kasienawan	<i>noun</i><br><ol><li>winter</li></ol>
kasuy	<i>noun</i><br><ol><li>wood</li></ol>
katalalan	<i>noun</i><br><ol><li>cow</li></ol>
kawswa	<i>noun</i><br><ol><li>umbrella</li></ol>
kayabes	<i>noun</i><br><ol><li>guava</li></ol>
kayku	<i>noun</i><br><ol><li>silkworm</li></ol>
kaysing	<i>noun</i><br><ol><li>bowl</li></ol>
kazizeng	<i>noun</i><br><ol><li>car; automobile</li></ol>
kebing	<i>noun</i><br><ol><li>(medicine) measles</li></ol>
kelakela'	<i>noun</i><br><ol><li>oxcart</li></ol>
keliw	<i>noun</i><br><ol><li>thread</li></ol>
kidawdawngay	<i>noun</i><br><ol><li>grasshopper</li></ol>
kikul	<i>noun</i><br><ol><li>tail (of an animal)</li></ol>
kilakilangan	<i>noun</i><br><ol><li>forest; woods</li></ol>
kilang	<i>noun</i><br><ol><li>tree</li></ol>
kisu	<i>pron</i><br><ol><li>you (singular)</li></ol>
kita	<i>pron</i><br><ol><li>we (inclusive)</li></ol>
kiwkay	<i>noun</i><br><ol><li>church</li></ol>
kiwmah	<i>noun</i><br><ol><li>wild boar</li></ol>
kiyu	<i>noun</i><br><ol><li>eggplant</li></ol><br><i>conj</i><br><ol><li>so; therefore</li></ol>
kubkub	<i>noun</i><br><ol><li>corn; maize</li></ol>
kuhkuh	<i>noun</i><br><ol><li>river snail</li></ol>
kuku'	<i>noun</i><br><ol><li>(anatomy) foot</li></ol>
kulang	<i>noun</i><br><ol><li>Chinese mustard</li></ol>
kuletu	<i>noun</i><br><ol><li>Chinese yam (Dioscorea polystachya)</li></ol>
kulit	<i>noun</i><br><ol><li>color</li></ol>
kuliya'	<i>noun</i><br><ol><li>purslane</li></ol>
kulul	<i>noun</i><br><ol><li>(anatomy) back</li></ol>
kutu	<i>noun</i><br><ol><li>head louse; nit</li></ol>
kuwa'	<i>noun</i><br><ol><li>papaya</li></ol>
kuyni	<i>pron</i><br><ol><li>this</li></ol>
kuyza	<i>pron</i><br><ol><li>that</li></ol>
labang	<i>noun</i><br><ol><li>visitor</li></ol>
labi	<i>noun</i><br><ol><li>evening; night</li></ol>
lacik	<i>noun</i><br><ol><li>candle</li></ol>
lacu	<i>noun</i><br><ol><li>ammunition</li></ol>
ladem	<i>noun</i><br><ol><li>cloud</li></ol>
lahud	<i>noun</i><br><ol><li>vapor</li></ol>
lahuk	<i>noun</i><br><ol><li>lunch</li></ol>
lait	<i>noun</i><br><ol><li>rope; cord</li></ol>
laku	<i>noun</i><br><ol><li>rice paddy</li></ol>
lala'	<i>noun</i><br><ol><li>land; soil</li></ol>
