A|a	<i>character</i><br><ol><li>The first letter of the Tetum alphabet, called a and written in the Latin script.</li></ol>
Estónia	<i>name</i><br><ol><li>Estonia</li></ol>
Inglés	<i>noun</i><br><ol><li>The English language</li></ol>
Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Tetun	<i>name</i><br><ol><li>The Tetum language</li></ol>
Tetun-Terik	<i>name</i><br><ol><li>rural or classical form of the Tetum language</li></ol>
aan	<i>noun</i><br><ol><li>body</li></ol>
aas	<i>adj</i><br><ol><li>high</li></ol>
aat	<i>adj</i><br><ol><li>bad</li></ol>
abríl	<i>noun</i><br><ol><li>April</li></ol>
abuabu	<i>noun</i><br><ol><li>fog</li></ol>
abut	<i>noun</i><br><ol><li>root</li></ol>
agora	<i>adv</i><br><ol><li>now</li></ol>
agostu	<i>noun</i><br><ol><li>August</li></ol>
ahi	<i>noun</i><br><ol><li>fire</li></ol>
ahi-suar	<i>noun</i><br><ol><li>smoke</li></ol>
ahun	<i>noun</i><br><ol><li>dust, powder</li></ol>
ai	<i>noun</i><br><ol><li>tree</li><li>wood</li></ol>
ai-fuan	<i>noun</i><br><ol><li>fruit</li></ol>
ai-nanás	<i>noun</i><br><ol><li>pineapple</li></ol>
ain	<i>noun</i><br><ol><li>leg</li></ol>
ain-kabun	<i>noun</i><br><ol><li>calf (of the leg)</li></ol>
ain-tuur	<i>noun</i><br><ol><li>knee</li></ol>
alas	<i>noun</i><br><ol><li>forest</li></ol>
alu	<i>noun</i><br><ol><li>pestle</li></ol>
aman	<i>noun</i><br><ol><li>father</li></ol>
ami	<i>pron</i><br><ol><li>we</li></ol>
ananás	<i>noun</i><br><ol><li>pineapple</li></ol>
anar	<i>noun</i><br><ol><li>fresh coal</li></ol>
anin	<i>noun</i><br><ol><li>the wind</li></ol>
asu	<i>noun</i><br><ol><li>dog (animal)</li><li>steel</li></ol>
aten	<i>noun</i><br><ol><li>liver</li></ol>
atus	<i>num</i><br><ol><li>hundred</li></ol>
au	<i>noun</i><br><ol><li>bamboo</li></ol>
badain	<i>noun</i><br><ol><li>craftsman, artisan</li></ol>
badak	<i>adj</i><br><ol><li>short</li></ol>
baku	<i>verb</i><br><ol><li>to beat, to hit</li></ol>
baliran	<i>noun</i><br><ol><li>sulfur (element)</li></ol>
bandu	<i>verb</i><br><ol><li>to forbid</li></ol>
bani	<i>noun</i><br><ol><li>bee (insect)</li></ol>
banin	<i>noun</i><br><ol><li>father-in-law</li></ol>
barata	<i>noun</i><br><ol><li>cockroach</li></ol>
barbeiru	<i>noun</i><br><ol><li>barber</li></ol>
basar	<i>noun</i><br><ol><li>market</li></ol>
batak	<i>noun</i><br><ol><li>dam; dyke</li></ol>
batar	<i>noun</i><br><ol><li>maize</li></ol>
baton|batón	<i>noun</i><br><ol><li>lipstick</li></ol>
baur	<i>noun</i><br><ol><li>rainbow</li></ol>
bee	<i>noun</i><br><ol><li>water (clear liquid H₂O)</li></ol>
bee-morin	<i>noun</i><br><ol><li>perfume</li></ol>
bee-moris	<i>noun</i><br><ol><li>swamp</li></ol>
bele	<i>verb</i><br><ol><li>can, to be able</li></ol>
besi	<i>noun</i><br><ol><li>(physics, chemistry, metallurgy) iron (element)</li></ol>
besi-ahi	<i>noun</i><br><ol><li>rifle</li></ol>
besi-asu	<i>noun</i><br><ol><li>steel</li></ol>
besik	<i>adj</i><br><ol><li>close, near</li></ol>
bibi	<i>noun</i><br><ol><li>goat</li></ol>
bibi-malae	<i>noun</i><br><ol><li>sheep</li></ol>
bokon	<i>adj</i><br><ol><li>wet</li></ol>
boot	<i>adj</i><br><ol><li>big</li></ol>
boran	<i>adj</i><br><ol><li>fat</li></ol>
borboleta	<i>noun</i><br><ol><li>butterfly</li></ol>
buat	<i>noun</i><br><ol><li>thing</li></ol>
bubu	<i>verb</i><br><ol><li>to swell</li></ol>
busa	<i>noun</i><br><ol><li>cat</li></ol>
buti	<i>verb</i><br><ol><li>to squeeze, to press</li></ol>
bá	<i>verb</i><br><ol><li>to go</li></ol><br><i>adv</i><br><ol><li>hence</li></ol>
bé	<i>noun</i><br><ol><li>The name of the Latin-script letter B.</li></ol>
da'an	<i>verb</i><br><ol><li>to cook by boiling</li></ol>
dada	<i>noun</i><br><ol><li>pull</li></ol>
dadeer	<i>noun</i><br><ol><li>morning</li></ol>
dalan	<i>noun</i><br><ol><li>way, road</li></ol>
dalen	<i>noun</i><br><ol><li>language</li></ol>
dapur	<i>noun</i><br><ol><li>kitchen</li></ol>
dauk	<i>adv</i><br><ol><li>still, yet</li></ol>
daun	<i>noun</i><br><ol><li>needle</li></ol>
dehan	<i>verb</i><br><ol><li>to tell, to say</li></ol>
derok	<i>noun</i><br><ol><li>lemon</li></ol>
dezembru	<i>noun</i><br><ol><li>December</li></ol>
di'ak	<i>adj</i><br><ol><li>good</li></ol>
didin	<i>noun</i><br><ol><li>wall</li></ol>
disionáriu	<i>noun</i><br><ol><li>dictionary</li></ol>
dodok	<i>adj</i><br><ol><li>rotten</li></ol>
domin	<i>noun</i><br><ol><li>love</li></ol>
dook	<i>adv</i><br><ol><li>far</li></ol>
du'ut	<i>noun</i><br><ol><li>grass</li></ol>
durubasa	<i>noun</i><br><ol><li>interpreter</li></ol>
ema	<i>noun</i><br><ol><li>person</li><li>people</li></ol>
eskola	<i>noun</i><br><ol><li>school</li></ol>
etu	<i>noun</i><br><ol><li>rice (either cooked or being cooked)</li></ol>
fa'an	<i>verb</i><br><ol><li>to sell</li></ol>
fahi	<i>noun</i><br><ol><li>pig</li></ol>
fai	<i>verb</i><br><ol><li>to pound</li><li>to crash into</li></ol>
fali	<i>adv</i><br><ol><li>again</li></ol>
faluk	<i>adj</i><br><ol><li>widowed</li></ol>
falun	<i>noun</i><br><ol><li>package, packet</li></ol><br><i>verb</i><br><ol><li>to wrap</li></ol>
falur	<i>noun</i><br><ol><li>pigeon</li></ol>
fani	<i>verb</i><br><ol><li>to sneeze</li></ol>
fanun	<i>verb</i><br><ol><li>to wake up</li></ol>
fase	<i>verb</i><br><ol><li>to wash</li></ol>
fatuk	<i>noun</i><br><ol><li>stone</li></ol>
feen	<i>noun</i><br><ol><li>wife</li></ol>
fehuk	<i>noun</i><br><ol><li>tuber</li><li>yam</li></ol>
fehuk-midar	<i>noun</i><br><ol><li>sweet potato</li></ol>
fera	<i>verb</i><br><ol><li>to split</li><li>to crack, to burst open</li></ol>
ferik	<i>adj</i><br><ol><li>old (of women)</li></ol>
feto	<i>noun</i><br><ol><li>woman</li></ol>
feton	<i>adj</i><br><ol><li>female</li></ol><br><i>noun</i><br><ol><li>sister (of a man)</li></ol>
fevereiru	<i>noun</i><br><ol><li>February</li></ol>
fila	<i>verb</i><br><ol><li>to turn</li></ol>
fini	<i>noun</i><br><ol><li>seed</li></ol>
fitis	<i>noun</i><br><ol><li>calf (of the leg)</li></ol>
fitun	<i>noun</i><br><ol><li>star</li></ol>
fo'er	<i>adj</i><br><ol><li>dirty</li></ol>
foho	<i>noun</i><br><ol><li>hill, mountain</li></ol>
fohon	<i>noun</i><br><ol><li>the top</li></ol>
folin	<i>noun</i><br><ol><li>price</li></ol>
foo	<i>verb</i><br><ol><li>to stink</li></ol>
foos	<i>noun</i><br><ol><li>picked, husked rice</li></ol>
fos	<i>noun</i><br><ol><li>husked rice</li></ol>
fota	<i>verb</i><br><ol><li>to split, to crack, to burst</li></ol>
foun	<i>adj</i><br><ol><li>new</li></ol>
fuan	<i>noun</i><br><ol><li>fruit</li><li>heart (bodily organ)</li></ol>
fuhur	<i>noun</i><br><ol><li>crown (of the head)</li></ol>
fulan	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
fulin	<i>noun</i><br><ol><li>ear (of corn)</li></ol>
fulun	<i>noun</i><br><ol><li>hair (of the body)</li><li>fur</li><li>feather</li></ol>
fuma	<i>verb</i><br><ol><li>to smoke</li></ol>
funan	<i>noun</i><br><ol><li>flower</li></ol>
funu	<i>noun</i><br><ol><li>war</li></ol>
furak	<i>noun</i><br><ol><li>taste</li><li>beauty</li></ol><br><i>adj</i><br><ol><li>tasty, delicious</li><li>pretty, lovely, beautiful</li><li>nice</li></ol><br><i>verb</i><br><ol><li>to taste like</li></ol>
futi	<i>noun</i><br><ol><li>wart</li></ol>
futu	<i>verb</i><br><ol><li>to tie</li></ol>
fuuk	<i>noun</i><br><ol><li>(anatomy) hair (of one's head)</li><li>mane (of a horse)</li></ol>
fó	<i>verb</i><br><ol><li>to give</li></ol>
ha'ak	<i>verb</i><br><ol><li>to say</li></ol>
ha'u	<i>pron</i><br><ol><li>I (personal pronoun)</li><li>me (direct object of a verb)</li><li>me (object of a preposition)</li><li>me (indirect object of a verb)</li><li>my (belonging to me)</li></ol>
haas	<i>noun</i><br><ol><li>mango</li></ol>
haat	<i>num</i><br><ol><li>four</li></ol>
hadomi	<i>verb</i><br><ol><li>to love</li></ol>
hakerek	<i>verb</i><br><ol><li>to write</li></ol>
halai	<i>verb</i><br><ol><li>to run</li></ol>
hali	<i>noun</i><br><ol><li>banyan (tree)</li></ol>
halo	<i>verb</i><br><ol><li>to do, to make</li><li>to build</li></ol>
haluha	<i>verb</i><br><ol><li>to forget</li></ol>
hamlaha	<i>noun</i><br><ol><li>hunger</li></ol><br><i>verb</i><br><ol><li>to be hungry</li></ol>
hamnasa	<i>verb</i><br><ol><li>to laugh</li></ol>
hamriik	<i>verb</i><br><ol><li>to stand up</li><li>to rise</li></ol>
han	<i>verb</i><br><ol><li>to eat</li></ol>
hana	<i>noun</i><br><ol><li>arrow</li></ol><br><i>verb</i><br><ol><li>to shoot</li></ol>
hanoin	<i>noun</i><br><ol><li>thought, idea</li></ol><br><i>verb</i><br><ol><li>to think</li></ol>
hare	<i>noun</i><br><ol><li>rice (unpicked); rice (plant)</li></ol>
haree	<i>verb</i><br><ol><li>to see</li></ol>
hatene	<i>verb</i><br><ol><li>to know</li></ol>
hatenu	<i>verb</i><br><ol><li>to bark</li></ol>
heli	<i>verb</i><br><ol><li>to hide</li></ol>
hemu	<i>verb</i><br><ol><li>to drink</li></ol>
hena	<i>noun</i><br><ol><li>cloth; fabric</li></ol>
hili	<i>verb</i><br><ol><li>to pick</li><li>to choose</li></ol>
hira	<i>pron</i><br><ol><li>how many</li></ol>
hitin	<i>noun</i><br><ol><li>(anatomy) lap</li></ol>
hitu	<i>num</i><br><ol><li>seven</li></ol>
horik	<i>verb</i><br><ol><li>to live somewhere, to dwell</li><li>to remain</li></ol>
horiseik	<i>adv</i><br><ol><li>yesterday</li></ol>
horon	<i>verb</i><br><ol><li>to smell, to sniff</li></ol>
horun	<i>noun</i><br><ol><li>bile</li></ol>
hosu	<i>noun</i><br><ol><li>fart</li></ol><br><i>verb</i><br><ol><li>to fart</li></ol>
hotu	<i>adj</i><br><ol><li>all</li></ol>
hu'in	<i>noun</i><br><ol><li>vulva; vagina; female genitalia</li></ol>
hudi	<i>noun</i><br><ol><li>banana</li></ol>
hun	<i>noun</i><br><ol><li>bottom, base</li><li>beginning</li><li>origin</li></ol>
husar	<i>noun</i><br><ol><li>(anatomy) navel</li></ol>
huu	<i>verb</i><br><ol><li>to blow</li></ol>
huun	<i>noun</i><br><ol><li>blow, blast</li><li>spirit</li></ol>
ibun	<i>noun</i><br><ol><li>mouth</li></ol>
ida	<i>num</i><br><ol><li>one</li></ol>
iha	<i>verb</i><br><ol><li>to be, to have</li></ol>
ikan	<i>noun</i><br><ol><li>fish (vertebrate animal)</li></ol>
ikun	<i>noun</i><br><ol><li>tail</li></ol>
imi	<i>pron</i><br><ol><li>you</li></ol>
inan	<i>noun</i><br><ol><li>mother</li></ol>
inglés	<i>noun</i><br><ol><li>English (language)</li></ol>
inur	<i>noun</i><br><ol><li>snout</li></ol>
inus	<i>noun</i><br><ol><li>nose</li></ol>
ita|Ita	<i>pron</i><br><ol><li>we, our</li><li>you, (polite form of addressing older person)</li></ol>
jambua	<i>noun</i><br><ol><li>grapefruit</li></ol>
janeiru	<i>noun</i><br><ol><li>January</li></ol>
janela	<i>noun</i><br><ol><li>window</li></ol>
jullu	<i>noun</i><br><ol><li>July</li></ol>
juñu	<i>noun</i><br><ol><li>June</li></ol>
kabaas	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
kabas	<i>noun</i><br><ol><li>cotton</li></ol>
kabeen	<i>noun</i><br><ol><li>saliva</li></ol>
kaben	<i>noun</i><br><ol><li>marriage</li></ol>
kabun	<i>noun</i><br><ol><li>belly, abdomen</li></ol>
kadesan	<i>noun</i><br><ol><li>ash</li></ol>
kaer	<i>verb</i><br><ol><li>to hold</li><li>to seize</li></ol>
kafé	<i>noun</i><br><ol><li>coffee</li></ol>
kakorok	<i>noun</i><br><ol><li>(anatomy) neck; throat</li></ol>
kakutak	<i>noun</i><br><ol><li>(anatomy) brain</li></ol>
kalan	<i>noun</i><br><ol><li>night</li></ol>
kalilin	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kalohan	<i>noun</i><br><ol><li>cloud</li></ol>
kamiza	<i>noun</i><br><ol><li>shirt</li></ol>
kampu	<i>noun</i><br><ol><li>uncultivated field</li></ol>
kanotak	<i>noun</i><br><ol><li>(anatomy) waist</li></ol>
kanuru	<i>noun</i><br><ol><li>spoon</li></ol>
karak	<i>verb</i><br><ol><li>to wish</li></ol>
karreta	<i>noun</i><br><ol><li>car</li><li>cart</li></ol>
karuk	<i>adj</i><br><ol><li>left</li></ol>
kasa	<i>verb</i><br><ol><li>to hunt</li></ol>
kateri	<i>noun</i><br><ol><li>scissors</li></ol>
katuas	<i>adj</i><br><ol><li>old (of men)</li></ol>
ke'e	<i>verb</i><br><ol><li>to dig</li></ol>
keiju	<i>noun</i><br><ol><li>cheese (dairy product)</li></ol>
kesi	<i>verb</i><br><ol><li>to tie up</li></ol>
ki'ik	<i>adj</i><br><ol><li>small</li></ol>
kiak	<i>adj</i><br><ol><li>poor</li></ol>
kidun	<i>noun</i><br><ol><li>bottom</li></ol>
kiki	<i>verb</i><br><ol><li>to scale (remove scales of fish)</li></ol>
kilat	<i>noun</i><br><ol><li>firearm</li></ol>
kinur	<i>adj</i><br><ol><li>yellow</li></ol>
kloot	<i>adj</i><br><ol><li>narrow</li></ol>
knuuk	<i>noun</i><br><ol><li>nest</li></ol>
ko'alia	<i>verb</i><br><ol><li>to speak</li></ol>
koi	<i>verb</i><br><ol><li>to scratch</li></ol>
komu	<i>conj</i><br><ol><li>as, since</li></ol>
kotuk	<i>noun</i><br><ol><li>back</li></ol>
kraik	<i>adj</i><br><ol><li>low</li></ol>
kreda	<i>noun</i><br><ol><li>church</li></ol>
kroat	<i>adj</i><br><ol><li>sharp</li></ol>
kuak	<i>noun</i><br><ol><li>hole</li></ol>
kualidade	<i>noun</i><br><ol><li>quality</li></ol>
kuana	<i>adj</i><br><ol><li>right (not left)</li></ol>
kuda	<i>noun</i><br><ol><li>horse</li></ol><br><i>verb</i><br><ol><li>to plant</li><li>to sow</li></ol>
kukun	<i>noun</i><br><ol><li>nail (on fingers and toes)</li></ol>
kulat	<i>noun</i><br><ol><li>mushroom</li></ol>
kulit	<i>noun</i><br><ol><li>(anatomy) skin</li><li>leather; hide</li></ol>
